updateCount,lastprice,volume,bidsize,bid,ask,asksize
404,26.75,5459,487,26.74,26.75,86
405,26.74,5460,487,26.74,26.75,87
406,26.74,5460,487,26.74,26.75,87
407,26.75,5478,486,26.74,26.75,72
408,26.75,5479,536,26.74,26.75,70
409,26.74,5484,531,26.74,26.75,71
410,26.75,5487,551,26.74,26.75,72
411,26.75,5487,551,26.74,26.75,72
412,26.75,5488,556,26.74,26.75,72
413,26.75,5491,1435,26.74,26.75,70
414,26.75,5546,1436,26.74,26.75,14
415,26.75,5561,186,26.75,26.76,433
416,26.75,5566,220,26.75,26.76,433
417,26.75,5566,220,26.75,26.76,433
418,26.75,5576,299,26.75,26.76,433
419,26.75,5587,336,26.75,26.76,423
420,26.75,5587,336,26.75,26.76,423
421,26.75,5590,386,26.75,26.76,423
422,26.75,5591,386,26.75,26.76,423
423,26.75,5592,385,26.75,26.76,423
424,26.75,5592,387,26.75,26.76,324
425,26.75,5699,301,26.75,26.76,324
426,26.75,5699,301,26.75,26.76,324
427,26.75,5769,261,26.75,26.76,314
428,26.75,5770,260,26.75,26.76,314
429,26.75,5775,265,26.75,26.76,314
430,26.75,5775,265,26.75,26.76,314
431,26.75,5776,264,26.75,26.76,315
432,26.75,5777,263,26.75,26.76,315
433,26.75,5777,264,26.75,26.76,315
434,26.75,5777,280,26.75,26.76,315
435,26.75,5777,280,26.75,26.76,315
436,26.75,5777,281,26.75,26.76,315
437,26.75,5980,320,26.75,26.76,115
438,26.75,5980,320,26.75,26.76,115
439,26.76,6063,64,26.76,26.77,275
440,26.76,6063,65,26.76,26.77,275
441,26.76,6063,65,26.76,26.77,275
442,26.76,6071,101,26.76,26.77,275
443,26.76,6071,103,26.76,26.77,285
444,26.76,6071,103,26.76,26.77,285
445,26.76,6071,213,26.76,26.77,285
446,26.76,6081,205,26.76,26.77,285
447,26.76,6082,205,26.76,26.77,285
448,26.76,6096,201,26.76,26.77,285
449,26.76,6096,201,26.76,26.77,285
450,26.76,6096,201,26.76,26.77,285
451,26.77,6281,21,26.76,26.77,280
452,26.76,6301,411,26.75,26.77,300
453,26.76,6301,411,26.75,26.77,300
454,26.77,6303,403,26.75,26.77,298
455,26.76,6304,16,26.76,26.77,298
456,26.76,6304,16,26.76,26.77,298
457,26.76,6320,333,26.75,26.76,1
458,26.76,6326,333,26.75,26.77,295
459,26.76,6326,333,26.75,26.77,297
460,26.76,6326,328,26.75,26.76,1
461,26.76,6331,347,26.75,26.76,7
462,26.76,6331,347,26.75,26.76,7
463,26.75,6333,345,26.75,26.76,7
464,26.76,6340,350,26.75,26.77,292
465,26.76,6340,350,26.75,26.77,292
466,26.76,6340,1,26.76,26.77,293
467,26.77,6343,44,26.76,26.77,292
468,26.77,6343,44,26.76,26.77,293
469,26.77,6343,44,26.76,26.77,292
470,26.77,6343,44,26.76,26.77,292
471,26.77,6343,104,26.76,26.77,292
